iter	Passed	Remaining
863	1551	244
864	1552	242
865	1555	240
866	1556	238
867	1558	237
868	1560	235
869	1561	233
870	1563	231
871	1565	229
872	1567	227
873	1568	226
874	1570	224
875	1572	222
876	1573	220
877	1575	218
878	1576	217
879	1578	215
880	1579	213
881	1581	211
882	1583	209
883	1584	207
884	1586	206
885	1588	204
886	1589	202
887	1591	200
888	1592	198
889	1594	197
890	1596	195
891	1597	193
892	1599	191
893	1601	189
894	1602	188
895	1604	186
896	1606	184
897	1608	182
898	1609	180
899	1611	179
900	1612	177
901	1614	175
902	1616	173
903	1618	171
904	1619	170
905	1621	168
906	1622	166
907	1624	164
908	1626	162
909	1627	160
910	1629	159
911	1631	157
912	1632	155
913	1634	153
914	1635	151
915	1637	150
916	1639	148
917	1640	146
918	1642	144
919	1644	142
920	1645	141
921	1647	139
922	1648	137
923	1651	135
924	1652	133
925	1653	132
926	1655	130
927	1657	128
928	1658	126
929	1660	124
930	1662	123
931	1663	121
932	1664	119
933	1666	117
934	1667	115
935	1668	114
936	1670	112
937	1671	110
938	1672	108
939	1674	106
940	1675	105
941	1677	103
942	1679	101
943	1681	99
944	1682	97
945	1684	96
946	1685	94
947	1687	92
948	1689	90
949	1691	89
950	1693	87
951	1695	85
952	1696	83
953	1698	81
954	1700	80
955	1702	78
956	1704	76
957	1706	74
958	1707	72
959	1708	71
960	1710	69
961	1711	67
962	1712	65
963	1714	64
964	1715	62
965	1717	60
966	1718	58
967	1720	56
968	1722	55
969	1723	53
970	1724	51
971	1726	49
972	1727	47
973	1729	46
974	1730	44
975	1732	42
976	1734	40
977	1735	39
978	1737	37
979	1739	35
980	1741	33
981	1743	31
982	1745	30
983	1746	28
984	1748	26
985	1749	24
986	1751	23
987	1753	21
988	1755	19
989	1757	17
990	1759	15
991	1760	14
992	1762	12
993	1764	10
994	1766	8
995	1768	7
996	1769	5
997	1771	3
998	1774	1
999	1775	0
